mkt_id,output_date,output_own_cost,output_comp_price,output_own_profits,output_X,output_own_share,output_own_sales,output_own_price
44,01-Jan-19,5.9,7.11,15.065,42.8,0.5152673,13.1,7.05
44,02-Jan-19,6.05,7.11,24.31,36.14,0.5570819,24.31,7.05
44,03-Jan-19,5.98,7.28,30.78391,34.34,0.5799217,28.77,7.05
44,04-Jan-19,5.98,7.28,20.1695,36.32,0.5427674,18.85,7.05
44,05-Jan-19,6.07,6.68,1.2312,44.06,0.4947566,1.71,6.79
44,06-Jan-19,5.96,6.68,1.577,44.24,0.4562896,1.9,6.79
44,07-Jan-19,5.96,7.07,14.1132,42.8,0.6933792,12.38,7.1
44,08-Jan-19,6.03,7.07,19.44189,41.54,0.5679079,18.17,7.1
44,09-Jan-19,5.99,7.07,26.6289,35.78,0.5599454,23.99,7.1
44,10-Jan-19,5.99,7.29,31.7793,33.8,0.5427551,28.63,7.1
44,11-Jan-19,6.04,7.29,21.0622,40.1,0.5535361,19.87,7.1
44,12-Jan-19,6.01,6.74,1.803099,41.54,0.5351149,2.47,6.74
44,13-Jan-19,5.98,6.74,1.254,43.7,0.4367998,1.65,6.74
44,14-Jan-19,6.01,7.2,19.25419,37.04,0.4693431,16.18,7.2
44,15-Jan-19,5.9,7.2,15.431,39.02,0.4262858,11.87,7.2
44,16-Jan-19,5.99,7.2,17.8354,41.72,0.4705034,14.74,7.2
44,17-Jan-19,6.02,7.18,25.5234,38.12,0.5640621,21.63,7.2
44,18-Jan-19,5.97,7.18,32.2506,33.26,0.5171713,26.22,7.2
44,19-Jan-19,5.98,6.75,4.248399,31.82,0.5981302,5.59,6.74
44,20-Jan-19,6.03,6.75,3.450598,28.58,0.3740836,4.86,6.74
44,21-Jan-19,6.02,7.4,40.082,28.04,0.4826455,28.63,7.42
44,22-Jan-19,6.02,7.4,41.622,29.3,0.5786614,29.73,7.42
44,23-Jan-19,5.93,7.4,47.7247,29.12,0.7550288,32.03,7.42
44,24-Jan-19,5.87,7.38,43.09,29.12,0.4782098,27.8,7.42
44,25-Jan-19,5.95,7.38,35.97091,29.84,0.4457766,24.47,7.42
44,26-Jan-19,5.99,6.78,3.4725,32.18,0.5423183,4.63,6.74
44,27-Jan-19,6.03,6.78,2.754798,34.7,0.5419803,3.88,6.74
44,28-Jan-19,6.11,7.27,31.5186,34.16,0.5581599,24.06,7.42
44,29-Jan-19,6.04,7.27,33.2856,32.36,0.4853461,24.12,7.42
44,30-Jan-19,5.9,7.27,35.1424,32.18,0.5030605,23.12,7.42
44,31-Jan-19,6.01,7.26,35.6307,32.18,0.5119505,25.27,7.42
44,01-Feb-19,5.99,7.26,37.50891,32.18,0.5354859,26.23,7.42
44,02-Feb-19,5.99,6.67,4.506801,32.18,0.4744768,5.93,6.75
44,03-Feb-19,6.02,6.67,3.3872,32.18,0.516659,4.64,6.75
44,04-Feb-19,6.09,7.34,29.58799,32,0.5008409,22.76,7.39
44,05-Feb-19,6.01,7.34,19.4994,33.44,0.329473,14.13,7.39
44,06-Feb-19,5.91,7.34,15.836,37.94,0.3420586,10.7,7.39
44,07-Feb-19,6.01,7.17,16.9602,41.18,0.4027154,12.29,7.39
44,08-Feb-19,6.02,7.17,19.5088,41.36,0.442182,14.24,7.39
44,09-Feb-19,6.01,6.68,1.474599,42.8,0.5861879,2.02,6.74
44,10-Feb-19,5.96,6.68,1.770599,41.36,0.4224788,2.27,6.74
44,11-Feb-19,5.97,7.19,21.3565,40.1,0.4911952,17.65,7.18
44,12-Feb-19,6.03,7.19,21.86149,39.92,0.5216136,19.01,7.18
44,13-Feb-19,6.02,7.19,7.771999,42.44,0.2914569,6.7,7.18
44,14-Feb-19,5.97,7.21,24.1032,38.66,0.546366,19.92,7.18
44,15-Feb-19,6.03,7.21,22.03399,38.12,0.6391879,19.16,7.18
44,16-Feb-19,6.01,6.71,1.949099,39.2,0.4733767,2.67,6.74
44,17-Feb-19,6.04,6.71,2.498999,39.38,0.512125,3.57,6.74
44,18-Feb-19,5.96,7.15,23.5476,39.92,0.6230357,18.99,7.2
44,19-Feb-19,6.11,7.15,16.5789,42.08,0.5392246,15.21,7.2
44,20-Feb-19,5.98,7.15,16.0796,43.88,0.5497248,13.18,7.2
44,21-Feb-19,5.94,7,16.695,45.14,0.5621514,13.25,7.2
44,22-Feb-19,5.95,7,16.5625,44.42,0.473634,13.25,7.2
44,23-Feb-19,5.93,6.72,2.482,38.48,0.5348258,3.4,6.66
44,24-Feb-19,5.99,6.72,1.8894,39.56,0.5522923,2.82,6.66
44,25-Feb-19,6.02,7.2,19.86,40.28,0.473575,16.55,7.22
44,26-Feb-19,5.94,7.2,22.66879,40.64,0.6296564,17.71,7.22
44,27-Feb-19,6.03,7.2,8.686997,41.9,0.2930943,7.3,7.22
44,28-Feb-19,6,7.07,19.9226,41.72,0.5650172,16.33,7.22
44,01-Mar-19,6.08,7.07,14.934,43.52,0.4461958,13.1,7.22
44,02-Mar-19,6.14,6.77,1.476001,42.62,0.4670815,2.05,6.86
44,03-Mar-19,6.03,6.77,0.6888999,47.3,0.4645241,0.83,6.86
44,04-Mar-19,5.97,7.16,15.732,45.14,0.5390083,13.68,7.12
44,05-Mar-19,5.94,7.16,19.352,41.9,0.5501068,16.4,7.12
44,06-Mar-19,6.08,7.16,16.6088,42.62,0.6045969,15.97,7.12
44,07-Mar-19,6,7.14,12.3984,45.68,0.4949973,11.07,7.12
44,08-Mar-19,5.96,7.14,15.486,44.24,0.5202026,13.35,7.12
44,09-Mar-19,6.12,6.7,0.7227,43.7,0.4072785,0.99,6.85
44,10-Mar-19,6,6.7,1.8275,39.02,0.3521793,2.15,6.85
44,11-Mar-19,6.01,7.24,19.596,37.58,0.4361364,16.33,7.21
44,12-Mar-19,6,7.24,17.5087,39.56,0.4222546,14.47,7.21
44,13-Mar-19,5.98,7.24,19.9014,41.18,0.542336,16.18,7.21
44,14-Mar-19,6.01,7.14,11.892,42.44,0.44835,9.91,7.21
44,15-Mar-19,5.99,7.14,12.5294,42.8,0.4543048,10.27,7.21
44,16-Mar-19,5.98,6.66,1.6571,42.8,0.5144644,2.27,6.71
44,17-Mar-19,6.05,6.66,1.5774,44.42,0.5558968,2.39,6.71
44,18-Mar-19,6.02,7.27,18.4093,41.9,0.4977819,15.47,7.21
44,19-Mar-19,6.04,7.27,18.3222,41.54,0.5518075,15.66,7.21
44,20-Mar-19,5.95,7.27,18.6732,42.8,0.5724526,14.82,7.21
44,21-Mar-19,6.01,7.1,10.512,49.46,0.5072523,8.76,7.21
44,22-Mar-19,6.04,7.1,7.2306,53.06,0.5153887,6.18,7.21
44,23-Mar-19,5.9,6.71,1.1736,47.48,0.6002733,1.63,6.62
44,24-Mar-19,5.94,6.71,1.5028,45.68,0.6370381,2.21,6.62
44,25-Mar-19,5.93,7.23,13.9764,42.98,0.4773683,12.26,7.07
44,26-Mar-19,6,7.23,17.2163,43.52,0.5963309,16.09,7.07
44,27-Mar-19,6.04,7.23,8.888902,47.3,0.5207312,8.63,7.07
44,28-Mar-19,6.01,6.97,7.059599,51.44,0.4420974,6.66,7.07
44,29-Mar-19,5.98,6.97,4.730601,53.42,0.3969305,4.34,7.07
44,30-Mar-19,6.03,6.74,0.6263998,51.98,0.532815,0.87,6.75
44,31-Mar-19,5.92,6.74,0.7054999,48.02,0.4283199,0.85,6.75
44,01-Apr-19,5.99,7.08,18.1012,42.8,0.5379903,15.34,7.17
44,02-Apr-19,5.91,7.08,14.5782,46.22,0.461771,11.57,7.17
44,03-Apr-19,5.99,7.08,11.8472,46.22,0.4209797,10.04,7.17
44,04-Apr-19,6.01,7.12,12.6788,45.5,0.4468568,10.93,7.17
44,05-Apr-19,5.96,7.12,6.9454,45.32,0.2972278,5.74,7.17
44,06-Apr-19,6.03,6.65,0.1987999,53.06,0.2664417,0.28,6.74
44,07-Apr-19,6,6.65,0.5993998,51.98,0.4221918,0.81,6.74
44,08-Apr-19,5.96,7.01,5.7452,52.7,0.4134338,5.42,7.02
44,09-Apr-19,6.1,7.01,5.9616,49.28,0.355714,6.48,7.02
44,10-Apr-19,6.05,7.01,10.8931,47.84,0.5720224,11.23,7.02
44,11-Apr-19,6.04,7.17,7.399,46.22,0.4083607,7.55,7.02
44,12-Apr-19,6.01,7.17,11.8473,44.96,0.5274008,11.73,7.02
44,13-Apr-19,6.02,6.75,1.3213,42.44,0.5178903,1.81,6.75
44,14-Apr-19,6.02,6.75,1.0585,45.68,0.6229836,1.45,6.75
44,15-Apr-19,6,7.02,7.9056,50.54,0.4219479,7.32,7.08
44,16-Apr-19,5.97,7.02,6.682201,50.9,0.5369041,6.02,7.08
44,17-Apr-19,6.03,7.02,8.179498,53.24,0.5791577,7.79,7.08
44,18-Apr-19,6.03,6.96,4.241999,55.76,0.4207492,4.04,7.08
44,19-Apr-19,6.03,6.96,4.724998,58.46,0.5480209,4.5,7.08
44,20-Apr-19,5.97,6.73,0.3744001,58.64,0.58732,0.52,6.69
44,21-Apr-19,5.96,6.73,0.2628,57.92,0.4284173,0.36,6.69
44,22-Apr-19,6.04,6.98,3.677101,58.28,0.4698399,3.57,7.07
44,23-Apr-19,6.03,6.98,4.3264,59.72,0.5537578,4.16,7.07
44,24-Apr-19,6.01,6.98,3.0952,63.14,0.5317958,2.92,7.07
44,25-Apr-19,5.99,7.08,2.473201,62.24,0.4217105,2.29,7.07
44,26-Apr-19,6.01,7.08,5.4484,56.84,0.5133285,5.14,7.07
44,27-Apr-19,6.03,6.67,0.6263998,53.24,0.5464805,0.87,6.75
44,28-Apr-19,6,6.67,0.5625,50.18,0.5253496,0.75,6.75
44,29-Apr-19,5.9,7.05,8.369999,47.66,0.4295973,7.75,6.98
44,30-Apr-19,6.02,7.05,1.7856,57.56,0.2591628,1.86,6.98
44,01-May-19,5.98,7.05,5.62,57.02,0.5050718,5.62,6.98
44,02-May-19,5.95,7.12,7.446901,52.88,0.5131468,7.23,6.98
44,03-May-19,5.99,7.12,6.920102,51.44,0.5410321,6.99,6.98
44,04-May-19,6,6.74,0.8999997,49.1,0.4868951,1.25,6.72
44,05-May-19,6.03,6.74,0.9383994,49.28,0.6701483,1.36,6.72
44,06-May-19,6.01,7.06,5.375998,48.2,0.3388437,5.12,7.06
44,07-May-19,5.97,7.06,9.613801,50.36,0.5401446,8.82,7.06
44,08-May-19,5.98,7.06,7.6356,50.54,0.453078,7.07,7.06
44,09-May-19,6.02,7.12,3.5568,57.74,0.4194595,3.42,7.06
44,10-May-19,6.05,7.12,7.282098,53.96,0.6906731,7.21,7.06
44,11-May-19,6.05,6.79,0.4319999,55.94,0.5435468,0.6,6.77
44,12-May-19,6.01,6.79,0.5243998,54.32,0.5802606,0.69,6.77
44,13-May-19,5.94,6.98,5.4166,57.92,0.5415415,5.11,7
44,14-May-19,6.01,6.98,3.227399,59,0.5365471,3.26,7
44,15-May-19,5.93,6.98,3.980401,59.18,0.5094076,3.72,7
44,16-May-19,5.99,7.15,4.181401,55.22,0.4114773,4.14,7
44,17-May-19,6.07,7.15,5.849699,56.3,0.5370349,6.29,7
44,18-May-19,5.98,6.8,0.2015999,65.66,0.5999629,0.28,6.7
44,19-May-19,6.02,6.8,0.2107999,64.94,0.5859925,0.31,6.7
44,20-May-19,6,7.09,1.7877,67.46,0.5387059,1.77,7.01
44,21-May-19,5.96,7.09,4.189501,59.9,0.5864249,3.99,7.01
44,22-May-19,6.06,7.09,3.458001,60.26,0.5762924,3.64,7.01
44,23-May-19,5.98,7.13,1.5759,65.12,0.3888337,1.53,7.01
44,24-May-19,6.04,7.13,1.6781,66.56,0.5400179,1.73,7.01
44,25-May-19,6.01,6.65,0.2129999,61.52,0.4618668,0.3,6.72
44,26-May-19,5.97,6.65,0.255,61.88,0.4313501,0.34,6.72
44,27-May-19,5.95,7.02,2.1726,64.22,0.4442051,2.13,6.97
44,28-May-19,6.11,7.02,2.364999,63.14,0.5456727,2.75,6.97
44,29-May-19,5.97,7.02,2.79,62.06,0.4608498,2.79,6.97
44,30-May-19,5.98,7.1,2.425499,61.7,0.4328318,2.45,6.97
44,31-May-19,5.97,7.1,1.31,68.54,0.4812405,1.31,6.97
44,01-Jun-19,5.97,6.75,0.0781,72.5,0.4720566,0.11,6.68
44,02-Jun-19,5.99,6.75,0.0483,74.84,0.4865456,0.07,6.68
44,03-Jun-19,6.02,7.05,2.0706,68.18,0.6327283,2.03,7.04
44,04-Jun-19,5.99,7.05,1.26,70.52,0.454815,1.2,7.04
44,05-Jun-19,6.03,7.05,0.6160998,77.72,0.5360679,0.61,7.04
44,06-Jun-19,6.04,6.98,1.68,66.56,0.6433463,1.68,7.04
44,07-Jun-19,5.93,6.98,1.2654,69.44,0.4528567,1.14,7.04
44,08-Jun-19,5.99,6.74,0.2664001,60.26,0.5274468,0.37,6.71
44,09-Jun-19,5.97,6.74,0.0814,69.62,0.3742163,0.11,6.71
44,10-Jun-19,5.95,7.08,1.8768,69.62,0.6053956,1.84,6.97
44,11-Jun-19,6.01,7.08,1.814399,67.46,0.5284351,1.89,6.97
44,12-Jun-19,6.06,7.08,2.811899,63.86,0.5453283,3.09,6.97
44,13-Jun-19,6.02,6.97,2.821499,64.4,0.5763021,2.97,6.97
44,14-Jun-19,6.05,6.97,1.471999,69.98,0.5933321,1.6,6.97
44,15-Jun-19,6.06,6.78,0.1008,67.64,0.4495746,0.14,6.78
44,16-Jun-19,5.97,6.78,0.1215001,67.1,0.4898436,0.15,6.78
44,17-Jun-19,5.97,7.03,0.5656002,74.48,0.3373369,0.56,6.98
44,18-Jun-19,6.04,7.03,0.4512,78.8,0.4029578,0.48,6.98
44,19-Jun-19,6.02,7.03,0.6816,77.9,0.6085548,0.71,6.98
44,20-Jun-19,5.96,7.04,1.8564,69.26,0.6274545,1.82,6.98
44,21-Jun-19,6.02,7.04,1.1424,69.08,0.4009671,1.19,6.98
44,22-Jun-19,6.04,6.7,0.0568,72.86,0.3713694,0.08,6.75
44,23-Jun-19,6.02,6.7,0.0657,75.02,0.6424274,0.09,6.75
44,24-Jun-19,6.08,7.02,0.6262001,78.08,0.4865729,0.62,7.09
44,25-Jun-19,6,7.02,0.5995001,80.96,0.5757382,0.55,7.09
44,26-Jun-19,6.01,7.02,0.3672,83.12,0.4569276,0.34,7.09
44,27-Jun-19,5.97,7.05,1.3216,71.96,0.6241561,1.18,7.09
44,28-Jun-19,5.95,7.05,0.9576002,75.38,0.5683731,0.84,7.09
44,29-Jun-19,6.02,6.75,0.0432,78.08,0.4692204,0.06,6.74
44,30-Jun-19,5.96,6.75,0.0312,81.14,0.4550847,0.04,6.74
44,01-Jul-19,5.97,7.02,0.7979002,76.1,0.5084787,0.79,6.98
44,02-Jul-19,6.07,7.02,0.7643998,73.76,0.5130325,0.84,6.98
44,03-Jul-19,5.93,7.02,1.4595,69.98,0.4803481,1.39,6.98
44,04-Jul-19,6.08,7.01,1.044,71.06,0.4857186,1.16,6.98
44,05-Jul-19,5.95,7.01,1.4729,70.52,0.5569608,1.43,6.98
44,06-Jul-19,6.03,6.69,0.2129999,63.32,0.5195335,0.3,6.74
44,07-Jul-19,5.93,6.69,0.243,63.86,0.4785342,0.3,6.74
44,08-Jul-19,6.02,6.97,3.460801,62.24,0.5022778,3.36,7.05
44,09-Jul-19,6.02,6.97,2.914901,63.14,0.5061224,2.83,7.05
